,x0,x1,x2,x3,x4,x5,x6,x7,z,d,s,q
442,10,374,369,271,554,273,798,330,1,0,0,0
443,10,340,342,263,534,258,798,319,1,0,0,0
444,10,382,348,273,531,257,798,314,1,0,0,0
445,10,337,334,250,428,250,798,322,1,0,0,0
446,10,341,327,250,432,250,798,321,0,0,1,0
447,179,450,308,416,588,303,794,361,0,0,1,1
448,15,385,392,277,588,303,794,361,0,0,1,1
449,10,407,384,335,553,419,796,479,1,0,0,1
450,11,330,107,315,588,303,794,361,0,0,0,1
451,55,339,205,307,588,303,794,361,1,0,0,1
452,389,310,146,490,531,344,797,386,1,0,0,1
453,389,310,146,490,577,320,796,362,1,0,0,0
454,389,310,146,490,473,250,798,313,1,0,0,0
455,389,310,146,490,497,250,732,300,1,0,0,0
456,389,310,146,490,656,285,796,312,1,0,0,0
457,10,494,111,478,588,303,794,361,1,0,0,0
458,389,310,146,490,589,310,798,358,1,0,0,0
459,389,310,146,490,507,274,798,321,1,0,0,0
460,389,310,146,490,603,327,798,379,1,0,0,0
461,389,310,146,490,563,313,798,384,1,0,0,0
462,15,370,263,294,574,311,796,379,1,0,0,0
463,389,310,146,490,625,336,798,388,1,0,0,0
464,10,388,382,267,566,319,798,385,1,0,0,0
465,10,367,361,280,502,266,798,313,1,0,0,0
466,11,398,288,308,632,344,798,392,1,0,0,1
467,389,310,146,490,588,303,794,361,1,0,0,0
468,389,310,146,490,588,303,794,361,1,0,0,0
469,389,310,146,490,540,303,644,319,1,0,0,0
470,389,310,146,490,598,341,798,402,1,0,0,0
471,10,358,363,250,588,303,794,361,0,0,0,0
472,10,342,139,303,588,303,794,361,0,0,1,0
473,389,310,146,490,601,281,798,338,0,0,0,0
474,10,375,383,275,588,303,794,361,1,0,0,1
475,389,310,146,490,588,303,794,361,1,0,0,1
476,20,408,159,363,588,303,794,361,1,0,0,0
477,389,310,146,490,561,285,627,296,0,0,0,1
478,389,310,146,490,588,303,794,361,1,0,0,0
479,10,460,124,442,432,289,697,331,1,0,0,1
480,10,360,284,281,492,328,640,374,1,0,0,0
481,10,401,218,337,588,303,794,361,1,0,0,0
482,26,488,109,476,550,340,714,393,1,0,0,0
483,389,310,146,490,588,303,794,361,1,0,0,0
484,389,310,146,490,588,303,794,361,1,0,0,1
485,10,498,92,482,588,303,794,361,1,1,0,0
486,389,310,146,490,587,271,798,304,1,0,0,0
487,389,310,146,490,519,278,798,327,1,0,0,1
488,389,310,146,490,588,303,794,361,1,0,0,0
489,389,310,146,490,588,303,794,361,1,1,0,0
490,75,339,261,306,631,334,798,370,1,0,0,0
491,10,337,203,296,542,328,648,360,1,0,0,0
492,15,344,136,312,588,303,794,361,1,0,0,0
493,389,310,146,490,588,303,794,361,1,1,0,0
494,20,315,285,269,436,267,798,343,1,0,0,1
495,389,310,146,490,437,278,798,361,1,0,0,0
496,35,356,212,316,595,293,798,340,1,1,0,0
497,10,359,139,319,588,303,794,361,0,0,1,1
498,10,321,189,280,588,303,794,361,0,0,0,1
499,389,310,146,490,588,303,794,361,0,0,1,1
500,61,498,291,424,588,303,794,361,0,0,1,1
501,389,310,146,490,427,362,794,420,0,0,0,1
502,389,310,146,490,613,307,791,336,0,0,0,1
503,10,495,63,482,462,291,798,344,1,0,0,1
504,389,310,146,490,401,255,798,318,0,1,1,0
505,389,310,146,490,588,303,794,361,0,1,1,0
506,10,341,390,281,588,303,794,361,1,0,0,1
507,389,310,146,490,588,303,794,361,1,0,0,1
508,389,310,146,490,588,303,794,361,1,1,0,0
509,10,368,366,299,588,303,794,361,1,1,0,0
510,10,371,387,284,514,284,631,313,1,0,0,1
511,389,310,146,490,584,276,797,345,1,1,0,0
512,11,370,356,284,569,278,798,335,1,0,0,0
513,10,369,340,287,570,284,794,339,1,0,0,0
514,10,356,262,293,544,287,795,344,1,0,0,0
515,43,492,280,429,615,297,798,342,1,0,0,0
516,389,310,146,490,556,439,756,477,1,0,0,0
517,10,325,227,283,588,303,794,361,1,0,0,0
518,389,310,146,490,588,303,794,361,1,0,0,0
519,389,310,146,490,588,303,794,361,1,0,0,0
520,10,324,245,274,531,257,798,309,1,0,0,0
521,10,337,171,305,452,270,798,344,1,0,0,1
522,65,342,262,290,490,267,797,338,1,0,0,0
523,10,303,308,256,433,250,798,327,1,0,0,0
524,389,310,146,490,451,264,798,337,0,0,0,0
525,389,310,146,490,588,303,794,361,0,0,1,0
526,389,310,146,490,588,303,794,361,0,0,0,0
527,389,310,146,490,466,324,798,419,1,0,0,1
528,389,310,146,490,644,346,695,360,1,1,0,0
