Unnamed: 0.1,Unnamed: 0,x,y,w,h,label,z,d,s,q
476,476,439,250,455,264,1,1,0,0,0
477,477,220,253,372,327,1,1,0,0,0
478,478,248,258,402,360,1,1,0,0,0
479,479,456,258,476,272,1,1,0,0,0
480,480,8,205,174,483,1,1,0,0,1
481,481,291,254,311,270,1,1,0,0,1
482,482,691,250,705,276,1,1,0,0,0
483,483,273,252,293,270,1,1,0,0,0
484,484,527,258,589,286,1,1,0,0,0
485,485,642,251,724,319,1,1,0,0,0
486,486,645,239,805,393,1,1,0,0,0
487,487,24,255,104,277,1,1,0,0,1
488,488,574,232,640,286,1,1,0,0,0
489,489,532,259,558,275,1,1,0,0,1
490,490,546,257,604,277,1,1,1,0,0
491,491,461,253,483,267,1,1,1,0,0
492,492,12,266,74,306,1,0,0,0,0
493,493,699,218,753,262,1,0,0,0,0
494,494,658,203,798,273,1,0,0,0,0
495,495,313,214,327,224,1,0,0,0,0
496,496,376,234,394,246,1,1,0,0,1
497,497,232,256,292,276,1,1,0,0,1
498,498,315,247,337,263,1,1,0,0,0
499,499,4,240,126,358,1,1,0,0,0
500,500,629,245,643,279,1,1,0,0,0
501,501,120,251,144,263,1,1,0,0,0
502,502,520,246,570,268,1,1,1,0,0
503,503,142,272,314,350,1,0,1,1,0
504,504,664,250,798,350,1,0,1,1,0
505,505,6,272,106,426,1,0,1,1,0
506,506,749,244,777,254,1,1,1,0,0
507,507,458,262,486,274,1,1,1,0,0
508,508,14,245,66,277,1,1,1,0,0
509,509,73,253,97,267,1,1,0,0,0
510,510,74,247,160,265,1,1,0,0,0
511,511,338,254,360,264,1,1,0,0,0
512,512,98,266,122,282,1,1,0,0,0
513,513,30,274,58,286,1,1,0,0,0
514,514,92,256,162,304,1,1,0,0,0
515,515,64,265,158,321,1,1,0,0,0
516,516,-4,248,230,346,1,1,1,0,0
517,517,0,244,154,364,1,1,0,0,0
518,518,24,264,50,276,1,1,0,0,0
519,519,26,262,50,276,1,1,0,0,0
520,520,268,256,294,270,1,1,0,0,0
521,521,220,262,278,284,1,1,0,0,0
522,522,2,255,216,351,1,1,1,0,0
523,523,106,264,170,310,1,1,0,0,0
524,524,114,282,140,294,1,1,0,0,0
525,525,282,275,304,285,1,1,0,0,0
526,526,269,276,301,294,1,1,1,0,0
527,527,178,277,208,289,1,1,1,0,0
528,528,240,270,304,320,1,0,0,0,0
529,529,192,255,346,329,1,0,0,0,0
530,530,4,235,254,389,1,0,0,0,0
531,531,358,252,374,268,1,0,0,0,0
532,532,135,246,159,258,1,0,0,0,0
533,533,312,246,354,274,1,0,0,1,0
534,534,230,250,250,262,1,0,0,1,0
535,535,48,176,120,252,1,0,0,0,0
536,536,267,223,331,257,1,0,0,0,0
537,537,107,184,321,330,1,1,0,0,0
538,538,0,148,200,390,1,1,0,0,1
539,539,366,252,386,268,1,1,0,0,0
540,540,48,247,108,279,1,1,0,0,0
541,541,42,258,70,274,1,1,1,0,0
542,542,315,258,373,286,1,1,0,0,0
543,543,42,262,124,284,1,1,0,0,0
544,544,458,262,610,358,1,1,0,0,0
545,545,556,264,660,362,1,1,0,0,0
546,546,460,260,486,278,1,1,0,0,0
547,547,536,244,800,412,1,1,0,0,0
548,548,474,260,498,276,1,1,0,0,0
549,549,514,247,572,295,1,1,0,0,0
550,550,246,267,314,293,1,1,0,0,0
551,551,468,231,608,311,1,1,0,0,0
552,552,528,248,624,328,1,1,0,0,0
553,553,495,233,805,435,1,1,0,0,0
554,554,335,250,357,260,1,1,0,0,0
555,555,299,226,337,258,1,1,0,0,0
556,556,-8,21,218,475,1,1,0,0,0
557,557,20,262,92,286,1,1,0,0,0
558,558,506,244,554,272,1,0,1,0,0
559,559,498,230,562,266,1,0,0,1,0
560,560,211,189,453,385,1,1,0,0,1
561,561,182,161,454,407,1,1,0,0,1
562,562,498,202,752,370,1,1,0,0,0
563,563,574,231,682,345,1,1,0,0,0
564,564,20,250,80,272,1,1,0,0,0
565,565,458,228,622,336,1,1,0,0,0
566,566,410,235,562,327,1,1,0,0,0
567,567,146,238,306,336,1,1,0,0,1
568,568,144,222,322,340,1,1,0,0,1
569,569,462,218,554,324,1,0,0,0,0
570,570,606,238,636,256,1,0,0,0,0
571,571,682,160,802,354,1,1,1,0,0
572,572,464,234,498,256,1,1,0,0,1
573,573,401,254,423,270,1,0,0,0,1
574,574,408,140,764,398,1,0,0,0,1
575,575,328,223,400,243,1,1,1,0,0
576,576,515,236,545,252,1,1,1,0,0
577,577,501,234,529,252,1,1,1,0,0
578,578,474,245,552,265,1,1,0,0,0
579,579,291,243,373,269,1,1,0,0,0
580,580,252,222,404,290,1,1,0,0,0
581,581,738,256,762,272,1,1,0,0,0
582,582,188,236,366,302,1,1,0,0,1
583,583,246,248,324,290,1,1,0,0,1
584,584,496,247,788,325,1,1,0,0,1
585,585,586,246,798,348,1,1,0,0,0
586,586,256,232,444,304,1,1,0,0,0
587,587,310,244,390,294,1,1,0,0,0
588,588,398,226,674,332,1,0,0,0,0
589,589,14,243,260,369,1,1,0,0,0
590,590,484,204,798,360,1,1,0,0,0
591,591,458,210,800,412,1,1,0,0,1
592,592,580,167,804,439,1,1,0,0,1
593,593,8,196,182,314,1,1,1,0,0
594,594,14,243,74,279,1,1,1,0,0
595,595,144,206,244,264,1,1,1,0,0
596,596,18,254,68,282,1,1,0,0,0
597,597,110,237,188,261,1,1,0,0,0
598,598,16,253,94,285,1,1,0,0,0
599,599,23,275,109,297,1,1,0,0,0
600,600,-6,253,230,349,1,1,1,0,0
601,601,64,269,160,339,1,1,1,0,0
602,602,378,249,394,263,1,1,0,0,0
603,603,332,258,354,274,1,1,0,0,1
604,604,350,247,398,267,1,1,0,0,1
605,605,350,247,398,267,1,1,0,0,0
606,606,497,258,563,288,1,1,0,0,0
607,607,538,214,798,384,1,1,0,0,0
608,608,718,264,776,300,1,1,0,0,0
609,609,719,204,769,280,1,1,0,0,0
610,610,625,212,699,260,1,1,0,0,0
611,611,626,246,712,290,1,1,0,0,0
612,612,587,218,789,302,1,1,0,0,0
613,613,728,268,786,306,1,1,0,0,0
614,614,36,297,94,319,1,1,0,0,1
615,615,113,220,281,266,1,1,1,0,0
616,616,175,230,235,264,1,1,1,0,0
617,617,308,227,506,273,1,1,1,0,0
618,618,244,253,268,265,1,1,0,0,1
619,619,82,260,124,276,1,1,0,0,0
620,620,86,258,114,270,1,1,0,0,0
621,621,130,258,188,300,1,1,0,0,0
